demo,row_id,pass_fail,input_prompt,output,note
demo1_nondeterminism,A,PASS,"Giải thích RAG là gì trong 3 câu, tiếng Việt, cho người mới học.","RAG là kỹ thuật kết hợp bước ""tìm kiếm"" tài liệu với bước ""sinh câu trả lời"". Hệ thống trước khi trả lời sẽ truy vấn cơ sở dữ liệu (ví dụ tài liệu nội bộ) để lấy đoạn văn liên quan. Mô hình ngôn ngữ dùng đúng những đoạn đó để viết câu trả lời, nên giảm bịa đặt và bám nguồn.",đúng; khác wording
demo1_nondeterminism,B,PASS,"Giải thích RAG là gì trong 3 câu, tiếng Việt, cho người mới học.","Retrieval-Augmented Generation (RAG) gồm hai bước: retrieval (lấy tài liệu liên quan từ kho) và generation (sinh câu trả lời dựa trên tài liệu đó). Nhờ vậy câu trả lời dựa trên nguồn có sẵn thay vì chỉ dựa vào kiến thức có sẵn trong mô hình. RAG không cần fine-tune lại mô hình, chỉ cần có kho tài liệu và bước truy vấn.",đúng; khác cách diễn đạt
demo1_nondeterminism,C,FAIL,"Giải thích RAG là gì trong 3 câu, tiếng Việt, cho người mới học.","RAG là phương pháp fine-tune mô hình ngôn ngữ trên từng bộ tài liệu riêng để nó ""nhớ"" nội dung và trả lời chính xác hơn. Người ta thường dùng câu hỏi–đáp từ tài liệu để huấn luyện thêm, giúp mô hình vừa giữ kiến thức nền vừa bám sát tài liệu nội bộ. Kết quả là hệ thống trả lời mượt và đúng với từng kho tài liệu.","Nói RAG = fine-tune (sai). RAG = retrieval + generation, không train lại model."
demo2_prompt_sensitivity,P1,PASS,"Tóm tắt đoạn sau trong 2 câu.","Công ty cho hoàn tiền trong 14 ngày nếu sản phẩm chưa dùng, còn tem. Nhân viên được làm việc từ xa tối đa 3 ngày/tuần nhưng phải có mặt thứ Hai và thứ Tư; nghỉ phép phải đăng ký qua hệ thống ít nhất 5 ngày làm việc trước.",output điển hình
demo2_prompt_sensitivity,P2,PASS,"Tóm tắt đoạn sau trong 2 câu, cho người mới, không thuật ngữ.","Bạn có thể được hoàn lại tiền trong 14 ngày nếu đồ chưa dùng và còn nguyên. Về làm việc, bạn có thể ở nhà tối đa 3 ngày mỗi tuần, nhưng 2 ngày phải vào công ty (thứ Hai và thứ Tư); muốn nghỉ phép thì cần gửi yêu cầu trước ít nhất 5 ngày.",output điển hình
demo2_prompt_sensitivity,P3,PASS,"Tóm tắt đoạn sau trong 2 câu và liệt kê 3 gạch đầu dòng.","Công ty hoàn tiền trong 14 ngày nếu sản phẩm chưa dùng, còn tem; nhân viên làm từ xa tối đa 3 ngày/tuần, bắt buộc có mặt thứ Hai và thứ Tư; nghỉ phép cần đăng ký trước ít nhất 5 ngày. + 3 bullet",output điển hình; có 3 bullet
demo2_prompt_sensitivity,P3_fail,FAIL,"Tóm tắt đoạn sau trong 2 câu và liệt kê 3 gạch đầu dòng.","Công ty có chính sách hoàn tiền rất rõ ràng: trong vòng 14 ngày kể từ ngày mua, khách hàng có thể yêu cầu hoàn tiền nếu sản phẩm chưa qua sử dụng và còn nguyên tem. Về phía nhân viên, công ty cho phép làm việc từ xa tối đa ba ngày mỗi tuần, tuy nhiên nhân viên bắt buộc phải có mặt tại văn phòng vào thứ Hai và thứ Tư để tham gia họp team. Ngoài ra, mọi yêu cầu nghỉ phép đều cần được gửi qua hệ thống nội bộ ít nhất năm ngày làm việc trước ngày nghỉ để đảm bảo quy trình phê duyệt.","Đúng nội dung nhưng không có 3 bullet; fail instruction adherence"
demo3_fluent_but_wrong,1,FAIL,"RAG có phải fine-tune không? Giải thích ngắn gọn.","RAG thực chất là một dạng fine-tune đặc biệt: người ta fine-tune mô hình ngôn ngữ trên từng bộ tài liệu riêng để nó ""nhớ"" nội dung đó và trả lời chính xác hơn. Nhờ vậy mô hình vừa giữ được kiến thức nền vừa bám sát tài liệu nội bộ. Cách làm này tiết kiệm hơn so với fine-tune toàn bộ vì chỉ cần train trên kho tài liệu của từng đơn vị.","Mượt nhưng sai. RAG không phải fine-tune; fail Correctness"
demo3_fluent_but_wrong,2,PASS,"RAG có phải fine-tune không? Giải thích ngắn gọn.","Không. RAG là retrieval (lấy tài liệu liên quan) + generation (sinh câu trả lời từ tài liệu đó). Không có bước fine-tune; mô hình dùng nguyên, chỉ thêm bước truy vấn và đưa kết quả vào prompt.","Ngắn nhưng đúng; khái niệm chuẩn"
demo3_fluent_but_wrong,3,FAIL,"Phân biệt groundedness và correctness.","Groundedness là mức độ đúng với sự thật bên ngoài (facts). Correctness là mức độ bám sát nguồn tài liệu đã cung cấp. Một câu trả lời có thể correctness cao (bám nguồn) nhưng groundedness thấp nếu nguồn đó sai.","Đảo định nghĩa; groundedness = bám nguồn; correctness = đúng sự thật"
demo4_pipeline,1,ok,"Intel Gaudi 3 có bao nhiêu HBM memory và bandwidth? Nêu ngắn gọn số liệu.","Intel Gaudi 3 có 128 GB HBM2e memory và băng thông HBM 3.7 TB/s.","Retrieval đúng; LLM trả lời đúng. Pipeline ổn."
demo4_pipeline,2,fail_retrieve,"Gaudi 3 dùng process bao nhiêu nm?","Tài liệu không nêu rõ process node của Gaudi 3. / Hoặc model đoán sai.","Lỗi layer retrieval; không lấy được đoạn TSMC 5nm. Triage: cải thiện chunking/embedding hoặc query."
